Kod;Nazwa;2017;2018;2019;2020;2021;
2013000;"Powiat wysokomazowiecki";4225,48;4416,09;4733,72;5071,35;5395,07;
2014000;"Powiat zambrowski";3933,11;4196,08;4371,63;4775,36;5085,38;
2061000;"Powiat m.Białystok";4164,59;4396,32;4744,13;5126,79;5650,97;
2062000;"Powiat m.Łomża";3665,03;4056,02;4417,66;4872,37;5352,29;
2063000;"Powiat m.Suwałki";3716,08;4006,38;4297,01;4562,69;4966,63;
2201000;"Powiat bytowski";3817,07;4214,69;4489,50;4905,51;5373,68;
2202000;"Powiat chojnicki";3479,72;3761,95;4051,60;4395,70;4805,13;
2203000;"Powiat człuchowski";3697,11;3979,20;4292,17;4569,32;5002,55;
2204000;"Powiat gdański";4191,00;4438,86;4678,84;5014,67;5484,63;
2205000;"Powiat kartuski";3717,51;3957,61;4239,41;4508,01;4933,56;
2206000;"Powiat kościerski";3433,93;3720,35;3966,09;4328,66;4810,12;
2207000;"Powiat kwidzyński";4097,28;4362,36;4567,79;4824,01;5205,22;
2208000;"Powiat lęborski";3918,71;4203,78;4493,51;4800,59;5316,30;
2209000;"Powiat malborski";3694,08;3868,76;4239,59;4559,54;4873,92;
2210000;"Powiat nowodworski";3846,11;4065,87;4369,99;4735,14;5077,72;
2211000;"Powiat pucki";3942,25;4198,77;4402,51;4741,10;5205,94;
2212000;"Powiat słupski";3870,93;4149,86;4391,83;4696,62;5105,88;
2213000;"Powiat starogardzki";4026,19;4323,80;4543,48;4969,91;5635,66;
2214000;"Powiat tczewski";4242,41;4392,16;4663,54;5031,71;5455,53;
2215000;"Powiat wejherowski";3763,49;4046,77;4306,07;4620,89;5056,01;
2216000;"Powiat sztumski";3709,56;3982,12;4306,45;4719,00;4984,90;
2261000;"Powiat m.Gdańsk";5312,48;5642,00;6154,35;6490,53;7084,42;
2262000;"Powiat m.Gdynia";5045,45;5347,46;5624,49;5848,66;6298,57;
2263000;"Powiat m.Słupsk";3840,62;4057,24;4287,66;4841,90;5375,69;
2264000;"Powiat m.Sopot";5313,49;5700,74;6064,20;6529,10;7331,15;
2401000;"Powiat będziński";3822,99;4066,61;4360,09;4643,65;5088,35;
2402000;"Powiat bielski";3999,45;4210,20;4564,32;4819,89;5205,16;
2403000;"Powiat cieszyński";3773,12;4107,37;4395,74;4660,69;5109,39;
2404000;"Powiat częstochowski";3640,22;3922,86;4310,92;4603,86;5015,76;
2405000;"Powiat gliwicki";3812,53;4152,62;4432,82;4696,57;5062,72;
2406000;"Powiat kłobucki";3275,42;3463,10;3683,38;4087,42;4435,67;
2407000;"Powiat lubliniecki";3729,86;4296,91;4316,81;4660,07;5038,72;
2408000;"Powiat mikołowski";3899,02;4182,15;4611,31;5002,48;5294,33;
2409000;"Powiat myszkowski";3730,50;4029,82;4414,28;4532,46;5006,82;
2410000;"Powiat pszczyński";3588,61;4031,68;4426,94;4674,30;5270,28;
2411000;"Powiat raciborski";4143,91;4492,30;4814,65;5199,24;5907,56;
2412000;"Powiat rybnicki";4130,78;4073,76;4417,88;4686,71;5078,82;
2413000;"Powiat tarnogórski";3969,09;4364,71;4658,86;4858,37;5320,63;
2414000;"Powiat bieruńsko-lędziński";3987,44;4310,64;4545,54;4649,07;5054,59;
2415000;"Powiat wodzisławski";3448,06;3725,84;4031,73;4323,10;4708,55;
2416000;"Powiat zawierciański";4023,65;4368,35;4633,87;5001,44;5807,30;
2417000;"Powiat żywiecki";4515,28;4577,28;4766,30;5011,50;5437,65;
2461000;"Powiat m.Bielsko-Biała";4446,37;4731,61;5101,34;5321,66;5789,65;
2462000;"Powiat m.Bytom";4054,04;4322,58;4770,54;5117,47;5562,14;
2463000;"Powiat m.Chorzów";4087,57;4311,91;4656,18;4910,73;5282,22;
2464000;"Powiat m.Częstochowa";3954,16;4222,51;4547,34;4875,71;5307,19;
2465000;"Powiat m.Dąbrowa Górnicza";5096,32;5451,26;5632,06;5811,72;6360,81;
2466000;"Powiat m.Gliwice";5117,17;5451,31;5889,99;6164,02;6698,45;
2467000;"Powiat m.Jastrzębie-Zdrój";6609,12;8121,08;8443,25;8377,01;8987,51;
2468000;"Powiat m.Jaworzno";5370,16;5848,34;5831,21;5976,30;6435,97;
2469000;"Powiat m.Katowice";5290,36;5698,98;6175,80;6525,94;6924,74;
2470000;"Powiat m.Mysłowice";4074,53;4294,85;4627,91;4763,73;5216,97;
2471000;"Powiat m.Piekary Śląskie";4619,75;4868,16;5189,69;5375,03;5732,54;
2472000;"Powiat m.Ruda Śląska";3906,09;4081,18;4422,77;4816,21;5318,24;
2473000;"Powiat m.Rybnik";4122,16;4400,84;4784,77;4987,77;5447,31;
2474000;"Powiat m.Siemianowice Śląskie";4116,13;4380,81;4672,11;5005,69;5389,44;
2475000;"Powiat m.Sosnowiec";4139,10;4385,51;4754,35;5008,83;5551,62;
2476000;"Powiat m.Świętochłowice";3595,13;3915,87;4316,83;4609,16;4816,93;
2477000;"Powiat m.Tychy";4437,20;4630,83;4916,90;5269,32;5586,31;
2478000;"Powiat m.Zabrze";4202,39;4490,42;4980,04;5232,59;5824,86;
